date,min_level,avg_level,max_level
2012-11-26,1.200,1.230,1.290
2012-11-27,1.120,1.130,1.140
2012-11-28,1.040,1.060,1.070
2012-11-29,1.000,1.010,1.020
2012-11-30,0.990,1.000,1.000
2012-12-01,0.970,0.980,0.980
2012-12-02,0.960,0.960,0.960
2012-12-03,0.990,1.010,1.020
2012-12-04,0.980,0.980,0.980
2012-12-05,0.970,0.970,0.970
2012-12-06,0.970,0.970,0.970
2012-12-07,1.010,1.010,1.010
2012-12-08,0.980,0.980,0.980
2012-12-09,0.960,0.960,0.960
2012-12-10,0.950,0.950,0.950
2012-12-11,0.970,0.980,0.980
2012-12-12,0.830,0.840,0.840
2012-12-13,0.870,0.880,0.880
2012-12-14,0.920,0.920,0.920
2012-12-15,1.120,1.150,1.170
2012-12-19,0.970,0.970,0.970
2012-12-20,1.120,1.190,1.250
2012-12-21,1.090,1.110,1.120
2012-12-22,1.100,1.240,1.320
2012-12-23,1.190,1.230,1.280
2012-12-24,1.110,1.290,1.540
2012-12-25,1.170,1.200,1.230
2012-12-26,1.110,1.110,1.110
2012-12-27,1.140,1.140,1.140
2012-12-28,1.100,1.140,1.170
2012-12-29,1.100,1.350,1.590
2012-12-30,1.200,1.210,1.220
2012-12-31,1.150,1.150,1.150
2013-01-01,1.220,1.240,1.260
2013-01-02,1.110,1.120,1.120
2013-01-03,1.070,1.080,1.080
2013-01-04,1.040,1.050,1.050
2013-01-05,1.030,1.030,1.030
2013-01-06,1.010,1.020,1.020
2013-01-07,1.000,1.010,1.010
2013-01-08,0.990,1.000,1.000
2013-01-09,1.000,1.010,1.010
2013-01-10,0.980,0.990,0.990
2013-01-11,0.980,0.980,0.980
2013-01-12,0.990,0.990,0.990
2013-01-13,0.970,0.970,0.970
2013-01-14,0.960,0.960,0.960
2013-01-15,0.980,0.980,0.980
2013-01-16,0.960,0.970,0.970
2013-01-17,0.950,0.960,0.960
2013-01-18,0.960,0.960,0.960
2013-01-19,0.970,0.970,0.970
2013-01-20,0.960,0.960,0.960
2013-01-21,0.960,0.960,0.960
2013-01-22,0.950,0.960,0.960
2013-01-23,0.980,0.980,0.980
2013-01-24,0.970,0.980,0.980
2013-01-25,0.970,0.970,0.970
2013-01-26,1.130,1.170,1.200
2013-01-27,1.330,1.340,1.340
2013-01-28,1.170,1.200,1.240
2013-01-29,1.130,1.130,1.140
2013-01-30,1.220,1.270,1.320
2013-01-31,1.100,1.100,1.100
2013-02-01,1.120,1.150,1.180
2013-02-02,1.080,1.090,1.090
2013-02-03,1.040,1.040,1.040
2013-02-04,1.020,1.020,1.020
2013-02-05,1.030,1.040,1.050
2013-02-06,1.010,1.020,1.030
2013-02-07,0.990,0.990,0.990
2013-02-08,0.980,0.980,0.980
2013-02-09,0.970,0.980,0.990
2013-02-10,1.010,1.220,1.400
2013-02-11,1.100,1.130,1.160
2013-02-12,1.060,1.070,1.070
2013-02-13,1.020,1.030,1.030
2013-02-14,1.110,1.140,1.200
2013-02-15,1.030,1.040,1.040
2013-02-16,1.010,1.010,1.010
2013-02-17,0.990,0.990,0.990
2013-02-18,0.980,0.980,0.980
2013-02-19,0.970,0.970,0.970
2013-02-20,0.960,0.960,0.960
2013-02-21,0.950,0.950,0.950
2013-02-22,0.950,0.950,0.950
2013-02-23,0.940,0.940,0.940
2013-02-24,0.930,0.930,0.930
2013-02-25,0.930,0.930,0.930
2013-02-26,0.930,0.930,0.930
2013-02-27,0.920,0.920,0.920
2013-02-28,0.920,0.920,0.920
2013-03-01,0.920,0.920,0.920
2013-03-02,0.920,0.920,0.920
2013-03-03,0.920,0.920,0.920
2013-03-04,0.920,0.920,0.920
2013-03-05,0.920,0.920,0.920
2013-03-06,0.920,0.920,0.920
2013-03-07,0.930,0.960,0.990
2013-03-08,0.940,0.940,0.940
2013-03-09,0.970,0.980,0.980
2013-03-10,0.950,0.960,0.960
2013-03-11,0.940,0.940,0.940
2013-03-12,0.920,0.920,0.920
2013-03-13,0.910,0.910,0.910
2013-03-14,0.900,0.900,0.900
2013-03-15,0.890,0.900,0.920
2013-03-16,1.100,1.240,3.910
2013-03-17,1.100,1.140,1.190
2013-03-18,1.040,1.060,1.080
2013-03-19,1.010,1.020,1.020
2013-03-20,0.990,1.000,1.000
2013-03-21,0.960,0.970,0.970
2013-03-22,1.110,1.150,1.180
2013-03-23,1.170,1.170,1.170
2013-03-24,1.080,1.090,1.100
2013-03-25,1.020,1.030,1.030
2013-03-26,0.980,0.990,0.990
2013-03-27,0.960,0.970,0.970
2013-03-28,0.950,0.950,0.950
2013-03-29,0.940,0.940,0.940
2013-03-30,0.930,0.930,0.930
2013-03-31,0.920,0.920,0.920
2013-04-01,0.920,0.920,0.920
2013-04-02,0.820,0.820,0.820
2013-04-03,0.820,0.820,0.820
2013-04-04,0.850,0.850,0.850
2013-04-05,0.890,0.890,0.890
2013-04-06,0.890,0.890,0.890
2013-04-07,0.890,0.890,0.890
