date,min_level,avg_level,max_level
2012-11-26,0.520,0.600,0.670
2012-11-27,0.400,0.430,0.460
2012-11-28,0.320,0.340,0.360
2012-11-29,0.250,0.310,0.330
2012-11-30,0.260,0.280,0.310
2012-12-01,0.250,0.270,0.280
2012-12-02,0.240,0.270,0.300
2012-12-03,0.310,0.330,0.340
2012-12-04,0.230,0.270,0.300
2012-12-05,0.130,0.210,0.260
2012-12-06,0.180,0.230,0.260
2012-12-07,0.300,0.330,0.360
2012-12-08,0.250,0.270,0.280
2012-12-09,0.190,0.240,0.270
2012-12-10,0.160,0.220,0.250
2012-12-11,0.140,0.200,0.230
2012-12-12,0.150,0.210,0.240
2012-12-13,0.140,0.200,0.230
2012-12-14,0.140,0.930,1.150
2012-12-15,0.450,0.750,0.850
2012-12-19,0.280,0.290,0.320
2012-12-20,0.620,0.780,0.920
2012-12-21,0.330,0.520,0.610
2012-12-22,0.400,0.740,0.890
2012-12-23,0.480,0.720,0.860
2012-12-24,0.430,0.820,1.120
2012-12-25,0.440,0.580,0.740
2012-12-26,0.410,0.410,0.410
2012-12-27,0.440,0.480,0.510
2012-12-28,0.420,0.490,0.520
2012-12-29,0.420,0.940,1.090
2012-12-30,0.580,0.680,0.720
2012-12-31,0.460,0.640,0.820
2013-01-01,0.430,0.500,0.600
2013-01-02,0.360,0.390,0.410
2013-01-03,0.320,0.330,0.340
2013-01-04,0.300,0.310,0.320
2013-01-05,0.260,0.280,0.300
2013-01-06,0.220,0.250,0.270
2013-01-07,0.220,0.260,0.280
2013-01-08,0.230,0.260,0.270
2013-01-09,0.260,0.270,0.270
2013-01-10,0.220,0.250,0.260
2013-01-11,0.200,0.230,0.250
2013-01-12,0.180,0.230,0.250
2013-01-13,0.200,0.220,0.230
2013-01-14,0.190,0.240,0.300
2013-01-15,0.230,0.240,0.260
2013-01-16,0.200,0.220,0.240
2013-01-17,0.140,0.190,0.230
2013-01-18,0.170,0.220,0.240
2013-01-19,0.170,0.230,0.260
2013-01-20,0.190,0.270,0.440
2013-01-21,0.140,0.220,0.290
2013-01-22,0.130,0.250,0.360
2013-01-23,0.210,0.270,0.300
2013-01-24,0.240,0.270,0.280
2013-01-25,0.230,0.290,0.380
2013-01-26,0.520,0.620,0.720
2013-01-27,0.660,0.950,1.030
2013-01-28,0.510,0.560,0.620
2013-01-29,0.420,0.430,0.450
2013-01-30,0.470,0.800,0.880
2013-01-31,0.380,0.470,0.530
2013-02-01,0.430,0.520,0.630
2013-02-02,0.330,0.350,0.370
2013-02-03,0.290,0.300,0.300
2013-02-04,0.250,0.270,0.270
2013-02-05,0.290,0.310,0.340
2013-02-06,0.190,0.250,0.310
2013-02-07,0.240,0.260,0.300
2013-02-08,0.130,0.240,0.340
2013-02-09,0.200,0.240,0.270
2013-02-10,0.260,0.710,0.850
2013-02-11,0.250,0.440,0.590
2013-02-12,0.280,0.300,0.320
2013-02-13,0.250,0.260,0.270
2013-02-14,0.360,0.430,0.500
2013-02-15,0.200,0.280,0.310
2013-02-16,0.240,0.260,0.270
2013-02-17,0.210,0.230,0.240
2013-02-18,0.140,0.200,0.250
2013-02-19,0.200,0.210,0.220
2013-02-20,0.180,0.200,0.220
2013-02-21,0.130,0.180,0.210
2013-02-22,0.130,0.160,0.210
2013-02-23,0.130,0.170,0.200
2013-02-24,0.130,0.180,0.220
2013-02-25,0.130,0.170,0.190
2013-02-26,0.130,0.170,0.190
2013-02-27,0.120,0.160,0.180
2013-02-28,0.130,0.220,0.370
2013-03-01,0.130,0.160,0.190
2013-03-02,0.130,0.150,0.180
2013-03-03,0.130,0.150,0.160
2013-03-04,0.130,0.140,0.150
2013-03-05,0.130,0.200,0.390
2013-03-06,0.130,0.140,0.150
2013-03-07,0.130,0.190,0.220
2013-03-08,0.140,0.250,0.450
2013-03-09,0.170,0.230,0.300
2013-03-10,0.160,0.200,0.260
2013-03-11,0.150,0.160,0.180
2013-03-12,0.140,0.150,0.150
2013-03-13,0.130,0.140,0.150
2013-03-16,3.910,3.910,3.910
2013-04-05,0.130,0.140,0.150
2013-04-06,0.110,0.140,0.200
2013-04-07,0.110,0.140,0.150
2013-04-08,0.120,0.150,0.180
2013-04-09,0.120,0.140,0.180
2013-04-10,0.120,0.160,0.230
2013-04-11,0.160,0.160,0.170
2013-04-12,0.190,0.240,0.260
2013-04-13,0.150,0.190,0.280
2013-04-14,0.190,0.200,0.220
2013-04-15,0.160,0.160,0.160
2013-04-16,0.140,0.150,0.160
2013-04-17,0.120,0.140,0.150
