date,min_level,avg_level,max_level
2012-11-26,1.090,1.100,1.130
2012-11-27,1.010,1.020,1.020
2012-11-28,0.970,0.980,0.990
2012-11-29,0.940,0.950,0.950
2012-11-30,0.930,0.940,0.940
2012-12-01,0.920,0.920,0.920
2012-12-02,0.910,0.910,0.910
2012-12-03,0.940,0.940,0.940
2012-12-04,0.910,0.920,0.920
2012-12-05,0.890,0.890,0.890
2012-12-06,0.880,0.880,0.880
2012-12-07,0.940,0.950,0.960
2012-12-08,0.890,0.890,0.890
2012-12-09,0.870,0.880,0.880
2012-12-10,0.860,0.870,0.870
2012-12-11,0.890,0.890,0.890
2012-12-12,0.880,0.890,0.890
2012-12-13,0.880,0.880,0.880
2012-12-14,0.880,0.920,0.960
2012-12-15,1.010,1.050,1.090
2012-12-19,0.880,0.920,0.950
2012-12-20,1.050,1.160,1.250
2012-12-21,0.950,1.030,1.070
2012-12-22,0.950,1.110,1.210
2012-12-23,1.110,1.160,1.180
2012-12-24,1.000,1.180,1.380
2012-12-25,1.060,1.100,1.160
2012-12-26,1.020,1.020,1.020
2012-12-27,1.050,1.050,1.050
2012-12-28,1.010,1.030,1.050
2012-12-29,1.010,1.270,1.380
2012-12-30,1.130,1.150,1.180
2012-12-31,1.050,1.060,1.070
2013-01-01,1.120,1.140,1.160
2013-01-02,1.040,1.040,1.040
2013-01-03,1.010,1.020,1.020
2013-01-04,0.990,0.990,0.990
2013-01-05,0.970,0.980,0.980
2013-01-06,0.950,0.950,0.960
2013-01-07,0.940,0.950,0.950
2013-01-08,0.930,0.930,0.930
2013-01-09,0.930,0.940,0.940
2013-01-10,0.920,0.920,0.920
2013-01-11,0.910,0.910,0.910
2013-01-12,0.910,0.910,0.910
2013-01-13,0.900,0.900,0.900
2013-01-14,0.890,0.890,0.890
2013-01-15,0.900,0.910,0.910
2013-01-16,0.880,0.890,0.890
2013-01-17,0.870,0.870,0.870
2013-01-18,0.870,0.880,0.880
2013-01-19,0.870,0.870,0.870
2013-01-20,0.870,0.870,0.870
2013-01-21,0.870,0.870,0.870
2013-01-22,0.870,0.870,0.870
2013-01-23,0.880,0.880,0.880
2013-01-24,0.880,0.880,0.880
2013-01-25,0.870,0.900,0.940
2013-01-26,1.120,1.170,1.210
2013-01-27,1.110,1.220,1.320
2013-01-28,1.050,1.080,1.100
2013-01-29,1.010,1.020,1.020
2013-01-30,1.170,1.190,1.210
2013-01-31,0.990,0.990,0.990
2013-02-01,1.020,1.060,1.100
2013-02-02,0.980,0.990,0.990
2013-02-03,0.950,0.950,0.950
2013-02-04,0.930,0.930,0.930
2013-02-05,0.940,0.950,0.960
2013-02-06,0.930,0.950,0.950
2013-02-07,0.910,0.910,0.910
2013-02-08,0.900,0.900,0.900
2013-02-09,0.900,0.900,0.900
2013-02-10,0.910,1.150,1.270
2013-02-11,0.950,1.010,1.090
2013-02-12,0.930,0.940,0.950
2013-02-13,0.910,0.910,0.920
2013-02-14,0.940,1.000,1.070
2013-02-15,0.930,0.940,0.950
2013-02-16,0.910,0.910,0.910
2013-02-17,0.900,0.900,0.900
2013-02-18,0.890,0.890,0.890
2013-02-19,0.880,0.880,0.880
2013-02-20,0.870,0.870,0.870
2013-02-21,0.870,0.870,0.870
2013-02-22,0.860,0.860,0.860
2013-02-23,0.850,0.850,0.860
2013-02-24,0.850,0.850,0.850
2013-02-25,0.840,0.840,0.840
2013-02-26,0.840,0.840,0.840
2013-02-27,0.840,0.840,0.840
2013-02-28,0.830,0.830,0.830
2013-03-01,0.830,0.830,0.830
2013-03-02,0.820,0.820,0.820
2013-03-03,0.820,0.820,0.820
2013-03-04,0.820,0.820,0.820
2013-03-05,0.810,0.820,0.820
2013-03-06,0.810,0.810,0.810
2013-03-07,0.810,0.820,0.830
2013-03-08,0.820,0.860,0.940
2013-03-09,0.900,0.910,0.920
2013-03-10,0.850,0.850,0.850
2013-03-11,0.830,0.830,0.830
2013-03-12,0.820,0.820,0.820
2013-03-13,0.810,0.810,0.810
2013-03-14,0.780,0.780,0.780
2013-03-15,0.780,0.800,0.840
2013-03-16,0.930,1.150,3.910
2013-03-17,0.940,0.990,1.020
2013-03-18,0.850,0.870,0.900
2013-03-19,0.840,0.840,0.840
2013-03-20,0.820,0.830,0.830
2013-03-21,0.810,0.810,0.810
2013-03-22,0.850,0.890,0.940
2013-03-23,0.940,0.970,1.000
2013-03-24,0.850,0.870,0.890
2013-03-25,0.840,0.840,0.840
2013-03-26,0.830,0.830,0.830
2013-03-27,0.820,0.820,0.820
2013-03-28,0.810,0.810,0.810
2013-03-29,0.810,0.810,0.810
2013-03-30,0.810,0.810,0.810
2013-03-31,0.800,0.800,0.800
2013-04-01,0.800,0.800,0.800
2013-04-02,0.800,0.800,0.800
2013-04-03,0.790,0.790,0.790
2013-04-04,0.790,0.790,0.790
2013-04-05,0.790,0.790,0.790
2013-04-06,0.790,0.790,0.790
2013-04-07,0.780,0.780,0.780
2013-04-08,0.780,0.780,0.780
2013-04-09,0.780,0.780,0.780
2013-04-10,0.780,0.780,0.780
2013-04-11,0.800,0.800,0.800
2013-04-12,0.810,0.810,0.810
2013-04-13,0.800,0.830,0.850
2013-04-14,0.840,0.850,0.850
2013-04-15,0.800,0.800,0.800
2013-04-16,0.790,0.790,0.790
2013-04-17,0.780,0.780,0.780
2013-04-18,0.780,0.780,0.780
2013-04-19,0.770,0.770,0.770
2013-04-20,0.770,0.770,0.770
2013-04-21,0.770,0.770,0.770
2013-04-22,0.770,0.770,0.770
2013-04-23,0.770,0.770,0.770
2013-04-24,0.770,0.770,0.770
2013-04-25,0.770,0.770,0.770
2013-04-26,0.800,0.800,0.800
2013-04-27,0.770,0.770,0.770
2013-04-28,0.770,0.770,0.770
2013-04-29,0.770,0.770,0.770
2013-04-30,0.770,0.770,0.770
2013-05-01,0.760,0.760,0.760
2013-05-02,0.760,0.760,0.760
2013-05-03,0.760,0.760,0.760
2013-05-04,0.760,0.760,0.760
2013-05-05,0.760,0.760,0.760
2013-05-06,0.760,0.760,0.760
2013-05-07,0.760,0.760,0.760
2013-05-08,0.770,0.770,0.770
2013-05-09,0.770,0.770,0.770
2013-05-10,0.780,0.780,0.780
2013-05-11,0.790,0.790,0.790
2013-05-12,0.770,0.770,0.770
2013-05-13,0.770,0.770,0.770
2013-05-14,0.760,0.810,0.850
2013-05-15,0.830,0.830,0.830
2013-05-16,0.780,0.780,0.780
2013-05-17,0.770,0.770,0.770
2013-05-18,0.760,0.760,0.760
2013-05-19,0.760,0.760,0.760
2013-05-20,0.760,0.760,0.760
2013-05-21,0.750,0.750,0.750
2013-05-22,0.750,0.750,0.750
2013-05-23,0.750,0.750,0.750
2013-05-24,0.750,0.750,0.750
2013-05-25,0.750,0.750,0.750
2013-05-26,0.740,0.740,0.740
2013-05-27,0.740,0.740,0.740
2013-05-28,0.750,0.800,0.850
2013-05-29,0.790,0.790,0.790
2013-05-30,0.780,0.780,0.780
2013-05-31,0.780,0.780,0.780
2013-06-01,0.760,0.760,0.760
2013-06-02,0.750,0.750,0.750
2013-06-03,0.740,0.740,0.740
2013-06-04,0.740,0.740,0.740
2013-06-05,0.740,0.740,0.740
2013-06-06,0.740,0.740,0.740
2013-06-07,0.740,0.740,0.740
2013-06-08,0.740,0.740,0.740
2013-06-09,0.740,0.740,0.740
2013-06-10,0.740,0.740,0.740
2013-06-11,0.740,0.740,0.740
2013-06-12,0.740,0.740,0.740
2013-06-13,0.750,0.750,0.750
2013-06-14,0.740,0.740,0.740
2013-06-15,0.750,0.750,0.750
2013-06-16,0.740,0.740,0.740
2013-06-17,0.740,0.740,0.740
2013-06-18,0.740,0.740,0.740
2013-06-19,0.740,0.740,0.740
2013-06-20,0.740,0.740,0.740
2013-06-21,0.740,0.740,0.740
2013-06-22,0.740,0.740,0.740
2013-06-23,0.740,0.740,0.740
2013-06-24,0.740,0.740,0.740
2013-06-25,0.730,0.730,0.730
2013-06-26,0.730,0.730,0.730
2013-06-27,0.730,0.730,0.730
2013-06-28,0.740,0.740,0.740
2013-06-29,0.730,0.730,0.730
2013-06-30,0.730,0.730,0.730
2013-07-01,0.720,0.720,0.720
2013-07-02,0.720,0.720,0.720
2013-07-03,0.730,0.730,0.730
2013-07-04,0.730,0.730,0.730
2013-07-05,0.750,0.750,0.750
2013-07-06,0.740,0.740,0.740
2013-07-07,0.750,0.750,0.750
2013-07-08,0.750,0.750,0.750
2013-07-09,0.200,0.560,0.750
2013-07-10,0.730,0.730,0.730
2013-07-11,0.720,0.720,0.720
2013-07-12,0.720,0.720,0.720
2013-07-13,0.730,0.730,0.730
2013-07-14,0.730,0.730,0.730
2013-07-15,0.730,0.730,0.730
2013-07-16,0.730,0.730,0.730
2013-07-17,0.740,0.740,0.740
2013-07-18,0.750,0.750,0.750
2013-07-19,0.740,0.740,0.740
2013-07-20,0.750,0.750,0.750
2013-07-21,0.760,0.760,0.760
2013-07-22,0.770,0.770,0.770
2013-07-23,0.780,0.850,0.930
2013-07-24,0.800,0.800,0.800
2013-07-25,0.820,0.820,0.820
2013-07-26,0.720,0.720,0.720
2013-07-27,0.710,0.750,0.850
2013-07-28,0.750,0.750,0.750
2013-07-29,0.740,0.750,0.770
2013-07-30,0.730,0.730,0.730
2013-07-31,0.750,0.750,0.750
2013-08-01,0.750,0.750,0.750
2013-08-02,0.710,0.710,0.710
2013-08-03,0.710,0.720,0.720
2013-08-04,0.710,0.720,0.720
2013-08-05,0.720,0.730,0.750
2013-08-06,0.710,0.710,0.720
2013-08-07,0.700,0.700,0.700
2013-08-08,0.690,0.690,0.690
2013-08-09,0.720,0.720,0.720
2013-08-10,0.700,0.700,0.700
2013-08-11,0.710,0.710,0.710
2013-08-12,0.700,0.830,0.950
2013-08-13,0.880,0.910,0.930
2013-08-14,1.030,1.030,1.030
2013-08-15,0.920,0.960,1.050
